6546,"_Line(m=84769.87048795106, b=-66514.4849224785)"
6364,"_Line(m=84865.13247344189, b=-89106.8174014811)"
7106,"_Line(m=84776.00109982681, b=-67968.4208349288)"
7580,"_Line(m=84920.74135346351, b=-102295.019387409)"
7652,"_Line(m=84920.6223928657, b=-102266.80669203162)"
7527,"_Line(m=87597.75904169866, b=-737176.5343292521)"
6488,"_Line(m=87509.00254401594, b=-716127.0433388187)"
6815,"_Line(m=84561.38284171872, b=-17069.55474201217)"
6722,"_Line(m=84691.62014777293, b=-47956.63424582939)"
7610,"_Line(m=85171.6871173406, b=-161809.3167484966)"
6749,"_Line(m=84561.38281458656, b=-17069.548307347868)"
7393,"_Line(m=84589.02971773317, b=-0.0)"
7086,"_Line(m=84719.38476108233, b=-0.0)"
6352,"_Line(m=85776.6243178632, b=-305276.2232244355)"
7703,"_Line(m=86088.46687435148, b=-379232.8039211919)"
6980,"_Line(m=84550.32538663635, b=-14447.168694676786)"
6604,"_Line(m=84612.57496359445, b=-0.0)"
6668,"_Line(m=84943.76535925685, b=-107755.39260135438)"
7017,"_Line(m=84889.34168772493, b=-0.0)"
6926,"_Line(m=84567.51227292523, b=-18523.210646946955)"
7649,"_Line(m=84522.92569651394, b=-7949.058185243376)"
6687,"_Line(m=87714.13487496201, b=-764776.2269459906)"
6330,"_Line(m=84730.38310343298, b=-57149.65681016383)"
7185,"_Line(m=85849.5367340038, b=-322568.1318363401)"
7053,"_Line(m=84721.74913243832, b=-55102.024249074646)"
7366,"_Line(m=84727.14990590641, b=-56382.871684761216)"
7494,"_Line(m=84746.31941176172, b=-60929.111693410036)"
7409,"_Line(m=85542.20894192763, b=-249682.27266755464)"
7664,"_Line(m=85104.00256298513, b=-145757.24783755085)"
7552,"_Line(m=85200.20546405425, b=-168572.72785510466)"
7300,"_Line(m=85384.74042510244, b=-212337.03921729495)"
6658,"_Line(m=85059.03596728106, b=-135092.97000037698)"
7555,"_Line(m=84733.81450444816, b=-57963.447874930745)"
