id,representation_2024,representation_2026,minimum_representation,classification
7077,1,0,0,Retained in 2024 only
7079,1,0,0,Retained in 2024 only
7089,0.5862068965517241,0,0,Excluded from both; 2024 only
7099,0,0.9625,0,Retained in 2026 only
7108,1,0,0,Retained in 2024 only
7112,1,0,0,Retained in 2024 only
7116,1,0,0,Retained in 2024 only
7121,0.8620689655172413,0,0,Retained in 2024 only
7122,1,0,0,Retained in 2024 only
7123,0,0.9,0,Retained in 2026 only
7143,0,1,0,Retained in 2026 only
7144,1,0,0,Retained in 2024 only
7149,1,0,0,Retained in 2024 only
7155,1,0,0,Retained in 2024 only
7163,0,0.9625,0,Retained in 2026 only
7166,0,0.9125,0,Retained in 2026 only
7173,1,0,0,Retained in 2024 only
7175,1,0,0,Retained in 2024 only
7178,1,0,0,Retained in 2024 only
7181,0,1,0,Retained in 2026 only
7192,1,0,0,Retained in 2024 only
7194,0.06896551724137931,0,0,Excluded from both; 2024 only
7212,0.9310344827586207,0,0,Retained in 2024 only
7214,1,0,0,Retained in 2024 only
7215,0,0.9875,0,Retained in 2026 only
7217,1,0,0,Retained in 2024 only
7218,1,0,0,Retained in 2024 only
7241,1,0,0,Retained in 2024 only
7246,1,0,0,Retained in 2024 only
7247,0,1,0,Retained in 2026 only
7248,1,0,0,Retained in 2024 only
7251,1,0,0,Retained in 2024 only
7260,0.7931034482758621,0,0,Excluded from both; 2024 only
7262,0,0.8875,0,Retained in 2026 only
7266,0.6551724137931034,0,0,Excluded from both; 2024 only
7268,1,0,0,Retained in 2024 only
7273,1,0,0,Retained in 2024 only
7276,1,0,0,Retained in 2024 only
7277,0,0.8875,0,Retained in 2026 only
7279,1,0,0,Retained in 2024 only
7288,1,0,0,Retained in 2024 only
7289,1,0,0,Retained in 2024 only
7291,0.7931034482758621,0,0,Excluded from both; 2024 only
7294,0,0.8625,0,Retained in 2026 only
7296,1,0,0,Retained in 2024 only
7298,0,0.8875,0,Retained in 2026 only
7300,0,1,0,Retained in 2026 only
7302,0,1,0,Retained in 2026 only
7304,0,1,0,Retained in 2026 only
7305,0,1,0,Retained in 2026 only
7306,0,1,0,Retained in 2026 only
7307,0,0.8875,0,Retained in 2026 only
7308,0,0.8125,0,Retained in 2026 only
7310,0,0.9375,0,Retained in 2026 only
7314,0,1,0,Retained in 2026 only
7316,0,1,0,Retained in 2026 only
7317,0,1,0,Retained in 2026 only
7318,0,1,0,Retained in 2026 only
7319,0,1,0,Retained in 2026 only
7320,0,1,0,Retained in 2026 only
7322,0,1,0,Retained in 2026 only
7323,0,0.9875,0,Retained in 2026 only
7324,0,1,0,Retained in 2026 only
7325,0,0.95,0,Retained in 2026 only
7326,0,0.9875,0,Retained in 2026 only
7327,0,1,0,Retained in 2026 only
7328,0,1,0,Retained in 2026 only
7329,0,1,0,Retained in 2026 only
